A|A|113|20200601|20200630|20200708|999|SISTEMA SAC         
A|B|001|001|PE|PC|II|EC|EI|SC|SI
C|C|3    |Clevelandia                             |PR|    |0000000|        01058041057060000000
C|C|5    |Palmas                                  |PR|    |0000000|        01058041176020000000
C|C|7    |Curitiba                                |PR|    |0000000|        01058041069020000000
C|C|9    |Francisco Beltrao                       |PR|    |0000000|        01058041084030000000
C|C|10   |Canoinhas                               |SC|    |0000000|        01058042038080000000
C|C|11   |Sao Lourenço Do Oeste                   |SC|    |0000000|        01058042169090000000
C|C|12   |Chapecó                                 |SC|    |0000000|        01058042042020000000
C|C|15   |Araucaria                               |PR|    |0000000|        01058041018040000000
C|C|17   |Pato Branco                             |PR|    |0000000|        01058041185010000000
C|C|20   |Florianopolis                           |SC|    |0000000|        01058042054070000000
C|C|21   |São Paulo                               |SP|    |0000000|        01058035503080000000
C|C|24   |Chopinzinho                             |PR|    |0000000|        01058041054090000000
C|C|31   |São Jose Dos Pinhias                    |PR|    |0000000|        01058041255060000000
C|C|34   |Jaragua Do Sul                          |SC|    |0000000|        01058042089060000000
C|C|38   |Xanxerê                                 |SC|    |0000000|        01058042195070000000
C|C|39   |Mandaguari                              |PR|    |0000000|        01058041142030000000
C|C|40   |Itajai                                  |SC|    |0000000|        01058042082030000000
C|C|45   |Cordilheira Alta                        |SC|    |0000000|        01058042043500000000
C|C|52   |Guarapuava                              |PR|    |0000000|        01058041094010000000
C|C|53   |Umuarama                                |PR|    |0000000|        01058041281040000000
C|C|65   |Abelardo Luz                            |SC|    |0000000|        01058042001010000000
C|C|75   |União Da Vitória                        |PR|    |0000000|        01058041282030000000
C|C|80   |Mariopolis                              |PR|    |0000000|        01058041153090000000
C|C|81   |Colombo                                 |PR|    |0000000|        01058041058050000000
C|C|100  |Paranagua                               |PR|    |0000000|        01058041182040000000
C|C|103  |Rio De Janeiro                          |RJ|    |0000000|        01058033045570000000
C|C|104  |Maringa                                 |PR|    |0000000|        01058041152000000000
C|C|109  |Jundiai                                 |SP|    |0000000|        01058035259040000000
C|C|115  |Novo Horizonte                          |PR|    |0000000|        01058042116520000000
C|C|122  |Porto Alegre                            |RS|    |0000000|        01058043149020000000
C|C|135  |Pato Branco                             |PR|    |0000000|        01058041185010000000
C|C|136  |Clevelandia                             |PR|    |0000000|        01058041057060000000
C|C|137  |Vitorino                                |PR|    |0000000|        01058041287080000000
C|C|138  |Bom Sucesso Do Sul                      |PR|    |0000000|        01058041032220000000
C|C|140  |Dois Vizinhos                           |PR|    |0000000|        01058041072070000000
C|C|141  |Francisco Beltrao                       |PR|    |0000000|        01058041084030000000
C|C|142  |Renascenca                              |PR|    |0000000|        01058041216040000000
C|C|145  |Videira                                 |SC|    |0000000|        01058042193090000000
C|C|148  |Sao Joao                                |PR|    |0000000|        01058041248060000000
C|C|150  |Coronel Vivida                          |PR|    |0000000|        01058041065060000000
C|C|152  |Londrina                                |PR|    |0000000|        01058041137000000000
C|C|154  |Mangueirinha                            |PR|    |0000000|        01058041144010000000
C|C|155  |Cascavel                                |PR|    |0000000|        01058041048080000000
C|C|156  |Itapejara d'Oeste                       |PR|    |0000000|        01058041112090000000
C|C|158  |Sao Jose Dos Pinhais                    |PR|    |0000000|        01058041255060000000
C|C|160  |Canoinhas                               |SC|    |0000000|        01058042038080000000
C|C|162  |Concordia                               |SC|    |0000000|        01058042043010000000
C|C|163  |Vere                                    |PR|    |0000000|        01058041286090000000
C|C|170  |Sao Paulo                               |SP|    |0000000|        01058035503080000000
C|C|171  |Presidente Prudente                     |SP|    |0000000|        01058035414060000000
C|C|178  |Uniao Da Vitoria                        |PR|    |0000000|        01058041282030000000
C|C|180  |Marmeleiro                              |PR|    |0000000|        01058041154080000000
C|C|183  |Marmeleiroo                             |PR|    |0000000|        01058041154080000000
C|C|184  |Bsucesso Do Sul                         |PR|    |0000000|        01058041032220000000
C|C|186  |Uberlandia                              |MG|    |0000000|        01058031702060000000
C|C|196  |Flor Da Serra Do Sul                    |PR|    |0000000|        01058041078500000000
C|C|200  |Ponta Grossa                            |PR|    |0000000|        01058041199050000000
C|C|204  |Sao Lourenco d Oeste                    |SC|    |0000000|        01058042169090000000
C|C|205  |Sao Lourenco Do Oeste                   |SC|    |0000000|        01058042169090000000
C|C|207  |Honorio Serpa                           |PR|    |0000000|        01058041096580000000
C|C|212  |Terra Roxa                              |PR|    |0000000|        01058041274030000000
C|C|213  |Guaira                                  |PR|    |0000000|        01058041088090000000
C|C|214  |Sulina                                  |PR|    |0000000|        01058041266520000000
C|C|218  |Sao Lourenco  Oeste                     |SC|    |0000000|        01058042169090000000
C|C|220  |Mnagueirinha                            |PR|    |0000000|        01058041144010000000
C|C|223  |Santa Isabel Doeste                     |PR|    |0000000|        01058041238080000000
C|C|227  |Realeza                                 |PR|    |0000000|        01058041214060000000
C|C|240  |Bom Sucesso                             |PR|    |0000000|        01058041032220000000
C|C|255  |Marau                                   |RS|    |0000000|        01058043118090000000
C|C|260  |Assis Chateaubriand                     |PR|    |0000000|        01058041020000000000
C|C|268  |Xaxim                                   |SC|    |0000000|        01058042197050000000
C|C|273  |Sap Paulo                               |SP|    |0000000|        01058035503080000000
C|C|275  |Sao Lourenço d Oeste                    |SC|    |0000000|        01058042169090000000
C|C|277  |Sao Lourenco Doeste                     |SC|    |0000000|        01058042169090000000
C|C|280  |Passo Fundo                             |RS|    |0000000|        01058043141000000000
C|C|289  |Xanxere                                 |SC|    |0000000|        01058042195070000000
C|C|290  |Pitanga                                 |PR|    |0000000|        01058041196080000000
C|C|293  |Chapeco                                 |SC|    |0000000|        01058042042020000000
C|C|298  |Panambi                                 |RS|    |0000000|        01058017210000000000
C|C|304  |Sao Mateus Do Sul                       |PR|    |0000000|        01058041256050000000
C|C|305  |Guaratingueta                           |SP|    |0000000|        01058035184040000000
C|C|307  |Lobato                                  |PR|    |0000000|        01058041136010000000
C|C|325  |Ipiranga                                |PR|    |0000000|        01058041105080000000
C|C|361  |Francisco Beltrão                       |PR|    |0000000|        01058041084030000000
C|C|368  |Clevelndia                              |PR|    |0000000|        01058041057060000000
C|C|369  |Marioplois                              |PR|    |0000000|        01058041153090000000
C|C|374  |Saudade Do Iguacu                       |PR|    |0000000|        01058041262720000000
C|C|377  |Coronel Domingos Soares                 |PR|    |0000000|        01058041064560000000
C|C|381  |SÃO LOURENÇO DO OESTE                   |SC|    |0000000|        01058042169090000000
C|C|382  |MARAU                                   |RS|    |0000000|        01058043118090000000
C|C|383  |FORMOSA DO SUL                          |SC|    |0000000|        01058042054310000000
C|C|384  |SANTA CECILIA DO PAVÃO                  |PR|    |0000000|        01058041232040000000
C|C|385  |Tio Hugo                                |RS|    |0000000|        01058043214690000000
C|C|386  |Rio Grande                              |RS|    |0000000|        01058043156020000000
C|C|387  |Siqueira Campo                          |PR|    |0000000|        01058041266030000000
C|C|388  |Nova Erechim                            |SC|    |0000000|        01058042114050000000
C|C|389  |Teixeira de Freitas                     |BA|    |0000000|        01058029313500000000
C|C|390  |Campo Grande                            |MS|    |0000000|        01058050027040000000
C|C|391  |Marilandia do Sul                       |PR|    |0000000|        01058041149060000000
C|C|392  |Cuiaba                                  |MT|    |0000000|        01058051034030000000
C|C|394  |Alto Parana                             |PR|    |0000000|        01058041006080000000
C|C|396  |Coxim                                   |MS|    |0000000|        01058050033060000000
C|C|399  |Feira de Santana                        |BA|    |0000000|        01058029108000000000
C|C|400  |Lindoeste                               |PR|    |0000000|        01058041134520000000
C|C|401  |Taruma                                  |SP|    |0000000|        01058035539550000000
C|C|403  |Sao Lorenço do Turvo                    |SP|    |0000000|        01058042169090000000
C|C|404  |Pinhalzinho                             |SC|    |0000000|        01058042129080000000
C|C|407  |Itatiaia                                |RJ|    |0000000|        01058033022540000000
C|C|408  |SANTA TEREZA DO OESTE                   |PR|    |0000000|        01058041240200000000
C|C|410  |Pouso Alegre                            |MG|    |0000000|        01058031525010000000
C|C|411  |Quilombo                                |SC|    |0000000|        01058042142010000000
C|C|412  |Rondonopolis                            |MT|    |0000000|        01058051076020000000
C|C|413  |Varzea Grande                           |MT|    |0000000|        01058051001020000000
C|C|414  |Arapora                                 |MG|    |0000000|        01058031037510000000
C|C|415  |Onda Verde                              |SP|    |0000000|        01058035340050000000
C|C|416  |Estiva                                  |MG|    |0000000|        01058031245000000000
C|C|418  |Campina Grande do Sul                   |PR|    |0000000|        01058041040060000000
C|C|421  |Sao jorge do Cedro                      |SC|    |0000000|        01058042167010000000
C|C|424  |Carambei                                |PR|    |0000000|        01058041046590000000
C|C|426  |tapejara                                |RS|    |0000000|        01058043209090000000
C|C|427  |Juquia                                  |SP|    |0000000|        01058035261000000000
C|C|428  |Salinas                                 |MG|    |0000000|        01058031570050000000
C|C|429  |Paraopeba                               |MG|    |0000000|        01058031474020000000
C|C|430  |Bom Jesus                               |SC|    |0000000|        01058042025370000000
C|C|431  |Diamante do Norte                       |PR|    |0000000|        01058041071080000000
C|C|432  |Itaúna do Sul                           |PR|    |0000000|        01058041113080000000
C|C|433  |Arroio do Meio                          |RS|    |0000000|        01058043010080000000
C|C|434  |Piranhas                                |GO|    |0000000|        01058052172030000000
C|C|435  |Canarana                                |MT|    |0000000|        01058051027020000000
C|C|436  |Lucas do Rio Verde                      |MT|    |0000000|        01058051052590000000
C|C|438  |Nova Mutum                              |MT|    |0000000|        01058051062240000000
C|C|439  |Cruzeiro do oeste                       |PR|    |0000000|        01058041066050000000
C|C|440  |Alto Garcas                             |MT|    |0000000|        01058051004090000000
C|C|441  |Caetanopolis                            |MG|    |0000000|        01058031099070000000
C|C|442  |Pindamonhancaba                         |SP|    |0000000|        01058035380060000000
C|C|444  |Sao Miguel do Oeste                     |SC|    |0000000|        01058042172040000000
C|C|445  |Novo Horizonte                          |SC|    |0000000|        01058042116520000000
C|C|446  |PETROLINA                               |PR|    |0000000|        01058026111010000000
C|C|447  |São mateus                              |ES|    |0000000|        01058032049060000000
C|C|448  |CAMBE                                   |PR|    |0000000|        01058041037010000000
C|C|449  |SANTA LUZIA                             |MG|    |0000000|        01058031578070000000
C|C|450  |ATIBAIA                                 |SP|    |0000000|        01058035041070000000
C|C|451  |FEIRA DE SANTANA                        |BA|    |0000000|        01058029108000000000
C|C|452  |Trairao                                 |PA|    |0000000|        01058015080500000000
C|C|453  |Rio Verde de Mato Grosso                |MS|    |0000000|        01058050074060000000
C|C|454  |CAMPO ERE                               |SC|    |0000000|        01058042035010000000
C|C|455  |REGENTE FEIJO                           |SP|    |0000000|        01058035424040000000
C|C|456  |PRESIDENTE VENCESLAU                    |SP|    |0000000|        01058035415050000000
C|C|457  |VOTUPORANGA                             |SP|    |0000000|        01058035571050000000
C|C|458  |CONTAGEM                                |MG|    |0000000|        01058031186010000000
C|C|459  |Bataypora                               |MS|    |0000000|        01058050020010000000
C|C|460  |Estrela Do Oeste                        |SP|    |0000000|        01058035102520000000
C|C|461  |Ponte Serradas                          |SC|    |0000000|        01058042134010000000
C|C|463  |CAMPO VERDE                             |MT|    |0000000|        01058051026780000000
C|C|465  |Entre Rios                              |SC|    |0000000|        01058042051750000000
C|C|466  |SIMOES FILHO                            |BA|    |0000000|        01058029307090000000
C|C|467  |SALVADOR                                |BA|    |0000000|        01058029274080000000
C|C|468  |Campinas                                |SP|    |0000000|        01058035095020000000
C|C|469  |Mogi Das Cruzes                         |SP|    |0000000|        01058035308050000000
C|C|470  |Ituitaba                                |MG|    |0000000|        01058031342020000000
C|C|471  |Itabuna                                 |BA|    |0000000|        01058029148020000000
C|C|472  |Lindoia Do Sul                          |SC|    |0000000|        01058042098540000000
C|C|473  |Passa Quatro                            |MG|    |0000000|        01058031476000000000
C|C|474  |NOBRES                                  |MT|    |0000000|        01058051059030000000
C|C|475  |Santa Cruz Do Sul                       |RS|    |0000000|        01058043168080000000
C|C|476  |Veranópolis                             |RS|    |0000000|        01058043228060000000
C|C|477  |Queimados                               |RJ|    |0000000|        01058033041440000000
C|C|478  |Diamantino                              |MT|    |0000000|        01058051035020000000
C|C|479  |Jardinopolis                            |SC|    |0000000|        01058042089550000000
C|C|480  |Araras                                  |SP|    |0000000|        01058035033070000000
C|C|481  |SAO MIGUEL DO OESTE                     |SC|    |0000000|        01058042172040000000
C|C|482  |TERESINA                                |PI|    |0000000|        01058022110010000000
C|C|483  |MOSSORO                                 |RN|    |0000000|        01058024080030000000
C|C|484  |GURUPI                                  |TO|    |0000000|        01058017095000000000
C|C|485  |SANTA MARIA DO PARA                     |PA|    |0000000|        01058015066090000000
C|C|486  |Açailândia                              |MA|    |0000000|        01058021000550000000
C|C|487  |ACU                                     |RN|    |0000000|        01058024002080000000
C|C|488  |SANTA BARBARA                           |BA|    |0000000|        01058029275070000000
C|C|489  |Ibotirama                               |BA|    |0000000|        01058029132000000000
C|C|490  |TEREZOPOLIS DE GOIAS                    |GO|    |0000000|        01058052211970000000
C|C|491  |CASTILHO                                |SP|    |0000000|        01058035110030000000
C|C|492  |Itaitinga                               |CE|    |0000000|        01058023062560000000
C|C|493  |Dionisio Cerqueira                      |SC|    |0000000|        01058042050010000000
C|C|494  |SEBERI                                  |RS|    |0000000|        01058043202060000000
C|C|495  |SAO JOSE DO CEDRO                       |SC|    |0000000|        01058042167010000000
C|C|496  |CONDOR                                  |RS|    |0000000|        01058043057020000000
C|C|497  |CRISSIUMAL                              |RS|    |0000000|        01058043060070000000
C|C|498  |GIRUA                                   |RS|    |0000000|        01058043090010000000
C|C|499  |SAO BERNARDO DO CAMPO                   |SP|    |0000000|        01058035487080000000
C|C|500  |ROLANDIA                                |PR|    |0000000|        01058041224040000000
C|C|501  |TAQUARA                                 |RS|    |0000000|        01058043212040000000
C|C|502  |FAZENDA VILANOVA                        |RS|    |0000000|        01058043080780000000
C|C|503  |AUGUSTO PESTANA                         |RS|    |0000000|        01058043015030000000
C|C|504  |XAVANTINA                               |SC|    |0000000|        01058042196060000000
C|C|505  |FORTALEZA                               |CE|    |0000000|        01058023044000000000
C|C|506  |ANDRADINA                               |SP|    |0000000|        01058035021010000000
C|C|507  |CAMPANHA                                |MG|    |0000000|        01058031109050000000
C|C|508  |MIRACATU                                |SP|    |0000000|        01058035299060000000
C|C|509  |RIBEIRAO DAS NEVES                      |MG|    |0000000|        01058031546060000000
C|C|510  |SOBRAL                                  |CE|    |0000000|        01058023129080000000
C|C|511  |GUARULHOS                               |SP|    |0000000|        01058035188000000000
C|C|512  |COUTO DE MAGALHAES                      |TO|    |0000000|        01058017060010000000
C|C|513  |RESENDE                                 |RJ|    |0000000|        01058033042010000000
C|C|514  |NOVA ESPERANCA                          |PR|    |0000000|        01058041169010000000
C|C|515  |JACUPIRANGA                             |SP|    |0000000|        01058035246000000000
C|C|516  |TREZE TILIAS                            |SC|    |0000000|        01058042185090000000
C|C|517  |CACHOEIRA DOS INDIOS                    |PB|    |0000000|        01058025033080000000
C|C|518  |JAICOS                                  |PI|    |0000000|        01058022052010000000
C|C|519  |Formosa                                 |GO|    |0000000|        01058052080040000000
