A|A|113|20200701|20200731|20200810|999|SISTEMA SAC         
A|B|001|000|PE|PC|II|EC|EI|SC|SI
E|C|001|000|20200716|20200715|CT-E|0  |001431|P|00001466|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |000000000000|00000000|00000035|0000000160026|0000000000000|0000000000000|0000000000000|AAA0000|F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|          |1352  |000|0000000001000|00000160026|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000160026|0000000000000|0000000000000|0000000160026|      |CT|001|F|1466|20072020|16072020|1431|00000160026|00000000000|0
E|C|001|000|20200722|20200722|NFE |1  |001212|P|00000022|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000035|0000000200000|0000000000000|0000000000000|0000000000000|AAA0000|F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|01000     |1556  |260|0000000200000|00000001000|0000000000000|0000000000000|0000000000000|0000000200000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000200000|      |CM|001|F|22|22072020|22072020|1212|00000000000|00000000000|1
E|C|001|000|20200723|20200723|NFE |1  |002600|P|00000021|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000035|0000000500000|0000000000000|0000000000000|0000000000000|AAA0000|F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|01000     |1556  |260|0000000500000|00000001000|0000000000000|0000000000000|0000000000000|0000000500000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000500000|      |CM|001|F|21|23072020|23072020|2600|00000000000|00000000000|1
E|C|001|000|20200722|20200722|NFE |1  |003232|P|00000022|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000035|0000000200000|0000000000000|0000000000000|0000000000000|AAA0000|F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|01000     |1556  |260|0000000200000|00000001000|0000000000000|0000000000000|0000000000000|0000000200000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000200000|      |CM|001|F|22|22072020|22072020|3232|00000000000|00000000000|1
E|C|001|000|20200722|20200722|NFE |1  |004545|P|00000022|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000035|0000000200000|0000000000000|0000000000000|0000000000000|AAA0000|F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|01000     |1556  |260|0000000200000|00000001000|0000000000000|0000000000000|0000000000000|0000000200000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000200000|      |CM|001|F|22|22072020|22072020|4545|00000000000|00000000000|1
E|C|001|000|20200722|20200722|NFE |1  |006565|P|00000022|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000035|0000000200000|0000000000000|0000000000000|0000000000000|AAA0000|F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|01000     |1556  |260|0000000200000|00000001000|0000000000000|0000000000000|0000000000000|0000000200000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000200000|      |CM|001|F|22|22072020|22072020|6565|00000000000|00000000000|1
S|C|001|000|20200716|20200716|NFE |1  |164119|P|00000005|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000001|0000000062500|0000000036456|0000000004375|0000000000000|AQX0922|C|PR|001|0016505590|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
S|I|101       |5101  |020|0000000025000|00000002500|00000000000|0000000000000|0000000000000|0000000036456|01200|0000000007500|0000000000000|0000000026044|0000000000000|0000000062500|      |VD|001|C|5|16072020|16072020|164119|00000001610|00000005833|1
P|E|001|000|00001466|COOPERATIVA DE TRANSPORTES BOM RETIRO   |15278561000396|9082131733        |88   |N|TRANSCOOPER CLEVELANDIA                 |Avenida Nossa Senhora Da Luz, 3278      |Centro                                  |85530000|4632522726    |              |                                                            |   |Clevelandia|0||PR
P|E|001|000|00000022|REMAISFRIO - COMERCIO DE REFRIGERA?AO LT|04054010000160|90218525-94       |2    |N|REMAISFRIO                              |Av. Tupi, 2047                          |                                        |85501000|32253227      |32253227      |                                                            |   |Pato Branco|21145||PR
P|E|001|000|00000021|COMERCIO DE COMBUSTIVEL BAIXADA LTDA    |75135822000189|3160201869        |2    |N|P. GABRIEL                              |Av. Tupi, 3451                          |Baixada Industr                         |85506000|32251033      |0             |                                                            |   |Pato Branco|28460||PR
P|C|001|000|00000005|COM. DE CEREAIS DELAMARTES LTDA         |80186406000140|1030229327        |224  |N|DELAMARTES                              |Rua Genesio Moreschi, 863               |Jd Guaraituba                           |83410000|              |              |slstorolli@uol.com.br                                       |   |Colombo|30004||PR
I|I|001|000|20200731|                                                       01000|Pimenta Em Po                                                                                                           |16    |090|UN |000100|0000000001000|00000000000| 00000000|00000|00000000000|00000000000|   00000000000000000000|00000000000000000000|                                                                            
I|I|001|000|20200731|                                                         101|Coxao Duro Hereford                                                                                                     |6     |020|KG |000100|0000000001000|00000161000| 00000000|00000|00000000000|00000000000|   00000000000000000000|00000000000000000000|                                                                            
C|C|1    |Curitiba                                |PR|    |0000000|        01058041069020000000
C|C|2    |Pato Branco                             |PR|    |0000000|        01058041185010000000
C|C|5    |Pinhao                                  |PR|    |0000000|        01058041193010000000
C|C|6    |Cachoeirinha                            |RS|    |0000000|        01058043031030000000
C|C|7    |Sao Paulo                               |SP|    |0000000|        01058035503080000000
C|C|9    |Porto Alegre                            |RS|    |0000000|        01058043149020000000
C|C|10   |Francisco Beltrao                       |PR|    |0000000|        01058041084030000000
C|C|12   |Coronel Vivida                          |PR|    |0000000|        01058041065060000000
C|C|13   |Guarulhos                               |SP|    |0000000|        01058035188000000000
C|C|14   |Maravilha                               |SC|    |0000000|        01058042105060000000
C|C|15   |Marilia                                 |SP|    |0000000|        01058035290050000000
C|C|16   |Cascavel                                |PR|    |0000000|        01058041048080000000
C|C|17   |Joinville                               |SC|    |0000000|        01058042091020000000
C|C|18   |Chapeco                                 |SC|    |0000000|        01058042042020000000
C|C|19   |Maringa                                 |PR|    |0000000|        01058041152000000000
C|C|20   |Criciuma                                |SC|    |0000000|        01058042046080000000
C|C|21   |Jundiai                                 |SP|    |0000000|        01058035259040000000
C|C|22   |Sao Leopoldo                            |RS|    |0000000|        01058043187050000000
C|C|23   |Rio De Janeiro                          |RJ|    |0000000|        01058033045570000000
C|C|24   |Marmeleiro                              |PR|    |0000000|        01058041154080000000
C|C|25   |Caxias Do Sul                           |RS|    |0000000|        01058043051080000000
C|C|28   |Sete Lagoas                             |MG|    |0000000|        01058031672020000000
C|C|29   |Araquari                                |SC|    |0000000|        01058042013070000000
C|C|30   |Mandaguari                              |PR|    |0000000|        01058041142030000000
C|C|31   |Jacarei                                 |SP|    |0000000|        01058035244020000000
C|C|32   |Lapa                                    |PR|    |0000000|        01058041132050000000
C|C|33   |Ponta Grossa                            |PR|    |0000000|        01058041199050000000
C|C|35   |Uniao Da Vitoria                        |PR|    |0000000|        01058041282030000000
C|C|36   |Campinas                                |SP|    |0000000|        01058035095020000000
C|C|37   |Jaragua Do Sul                          |SC|    |0000000|        01058042089060000000
C|C|38   |Porto Uniao                             |SC|    |0000000|        01058042136090000000
C|C|39   |Cotia                                   |SP|    |0000000|        01058035130090000000
C|C|40   |Passo Fundo                             |RS|    |0000000|        01058043141000000000
C|C|42   |Santo Amaro                             |SP|    |0000000|        01058029286040000000
C|C|43   |Xanxere                                 |SC|    |0000000|        01058042195070000000
C|C|44   |Laranjeiras Do Sul                      |PR|    |0000000|        01058041133040000000
C|C|45   |Ponte Serrada                           |SC|    |0000000|        01058042134010000000
C|C|46   |Marcelandia                             |MT|    |0000000|        01058051055800000000
C|C|47   |Vera                                    |MT|    |0000000|        01058051085010000000
C|C|48   |Ourem                                   |SP|    |0000000|        01058015054030000000
C|C|49   |Porto Vitoria                           |PR|    |0000000|        01058041203090000000
C|C|52   |Vacaria                                 |RS|    |0000000|        01058043225090000000
C|C|53   |Lucas Do Rio Verde                      |MT|    |0000000|        01058051052590000000
C|C|54   |Sao Joao                                |PR|    |0000000|        01058041248060000000
C|C|55   |Paragominas                             |PA|    |0000000|        01058015055020000000
C|C|56   |Rio Branco                              |AC|    |0000000|        01058012004010000000
C|C|57   |Sao Jose Dos Pinhais                    |PR|    |0000000|        01058041255060000000
C|C|58   |Sorriso                                 |MT|    |0000000|        01058051079250000000
C|C|59   |Palmitos                                |SC|    |0000000|        01058042121060000000
C|C|60   |Corumba                                 |MS|    |0000000|        01058050032070000000
C|C|61   |Ampere                                  |PR|    |0000000|        01058041010020000000
C|C|62   |Lajeado                                 |RS|    |0000000|        01058043114030000000
C|C|63   |Itarare                                 |SP|    |0000000|        01058035232060000000
C|C|66   |Sao Joao Del Rei                        |MG|    |0000000|        01058031625000000000
C|C|68   |Juina                                   |MT|    |0000000|        01058051051500000000
C|C|69   |Tome Acu                                |PA|    |0000000|        01058015080010000000
C|C|70   |Palmas                                  |PR|    |0000000|        01058041176020000000
C|C|71   |Juara                                   |MT|    |0000000|        01058051051010000000
C|C|72   |Venancio Aires                          |RS|    |0000000|        01058043226080000000
C|C|73   |Triunfo                                 |RS|    |0000000|        01058043220040000000
C|C|75   |David Canabarro                         |RS|    |0000000|        01058043063040000000
C|C|76   |Casca                                   |RS|    |0000000|        01058043049030000000
C|C|77   |Alta Floresta                           |MT|    |0000000|        01058051002500000000
C|C|78   |Chopinzinho                             |PR|    |0000000|        01058041054090000000
C|C|79   |Brasnorte                               |MT|    |0000000|        01058051019020000000
C|C|80   |Tibagi                                  |PR|    |0000000|        01058041275020000000
C|C|81   |Tucuma                                  |PA|    |0000000|        01058015080840000000
C|C|82   |Lages                                   |SC|    |0000000|        01058042093000000000
C|C|83   |Sulina                                  |PR|    |0000000|        01058041266520000000
C|C|84   |Sinop                                   |MT|    |0000000|        01058051079090000000
C|C|85   |Guarapuava                              |PR|    |0000000|        01058041094010000000
C|C|86   |Vanini                                  |RS|    |0000000|        01058043209090000000
C|C|88   |Clevelandia                             |PR|    |0000000|        01058041057060000000
C|C|89   |Claudia                                 |MT|    |0000000|        01058051030560000000
C|C|90   |Mundo Novo                              |MS|    |0000000|        01058052140510000000
